ticker,name,sector
ALPHI.PA,FACEPHI,Technology
ALPJT.PA,POUJOULAT,Industrials
ALPVL.PA,PLAST. VAL LOIRE,Industrials
ALSMA.PA,SMAIO,Health Care
ALKLH.PA,KLEA HOLDING,Health Care
VANTI.PA,VANTIVA,Telecommunications
ALHOP.PA,HOPSCOTCH GROUPE,Consumer Discretionary
ALMRB.PA,MR BRICOLAGE,Consumer Discretionary
ALENO.PA,ENOGIA,Industrials
MEMS.PA,MEMSCAP REGPT,Technology
ABLD.PA,ABL Diagnostics,Health Care
ALCLA.PA,CLARANOVA,Technology
ALDNX.PA,DNXCORP,Technology
PAR.PA,PAREF,Real Estate
ALCBI.PA,CBI,Consumer Discretionary
ALCOX.PA,NICOX,Health Care
ALNOV.PA,NOVACYT,Health Care
HDF.PA,HDF,Utilities
FINM.PA,FINANCIERE MARJOS,Consumer Discretionary
ACAN.PA,ACANTHE DEV.,Real Estate
ALECP.PA,EUROPACORP,Consumer Discretionary
ALAUD.PA,AUDACIA,Financials
ALETC.PA,ENERGY SOLAR,Energy
ALPRG.PA,PROLOGUE,Technology
ALUNT.PA,UNITI,Real Estate
SFCA.PA,SOC FRANC CASINOS,Consumer Discretionary
ALMKT.PA,MAUNA KEA TECH,Health Care
ALHYP.PA,HIPAY GROUP,Industrials
ALGEN.PA,GENOWAY,Health Care
ALNTG.PA,NETGEM,Telecommunications
ALODY.PA,ODYSSEE TECHNO,Industrials
ALMEX.PA,MEXEDIA,Telecommunications
ALBPK.PA,BROADPEAK,Telecommunications
ALDRV.PA,DRONE VOLT,Industrials
TBSO.PA,TBSO,Industrials
ALMER.PA,SAPMER,Consumer Staples
ALMIN.PA,MINT,Utilities
JBOG.PA,JACQUES BOGART,Consumer Staples
ALVAL.PA,VALBIOTIS,Health Care
VMX.PA,VERIMATRIX,Technology
ALDAR.PA,DAMARTEX,Consumer Discretionary
ALXIL.PA,XILAM ANIMATION,Consumer Discretionary
ALDLS.PA,D.L.S.I.,Industrials
ALNSC.PA,NSC GROUPE,Industrials
ALVIR.PA,VIRTUALWARE,Technology
ALTOU.PA,TOUAX,Industrials
ALDMS.PA,DIAGNOSTIC MEDICAL,Health Care
ALITL.PA,IT LINK,Technology
PRC.PA,ARTMARKET COM,Consumer Discretionary
ALHUN.PA,HUNYVERS,Consumer Discretionary
ALTAI.PA,LIGHTON,Technology
GRVO.PA,GRAINES VOLTZ,Consumer Discretionary
ARTE.PA,ARTEA,Real Estate
SIGHT.PA,GENSIGHT BIOLOGICS,Health Care
ALFOR.PA,FORSEE POWER,Industrials
ALIMP.PA,IMPLANET,Health Care
ALEAC.PA,EDILIZIACROBATICA,Industrials
ALHRS.PA,HYDROGEN REFUELING,Energy
ALHIT.PA,HITECHPROS,Technology
ALCOG.PA,COGRA,Basic Materials
ALISP.PA,ISPD,Consumer Discretionary
ALIKO.PA,IKONISYS,Health Care
ALWTR.PA,WATERA,Utilities
ALU10.PA,U10 CORP,Consumer Discretionary
ALLOG.PA,LOGIC INSTRUMENT,Technology
ALTD.PA,TONNER DRONES,Industrials
ALMCE.PA,MON COURTIER ENERG,Industrials
ALPWG.PA,PRODWAYS GROUP,Industrials
ALPAS.PA,PASSAT,Consumer Discretionary
FIPP.PA,FIPP,Financials
ALCWE.PA,CHARWOOD ENERGY,Utilities
ALTUV.PA,BIO-UV GROUP,Industrials
ALTRI.PA,TRILOGIQ,Industrials
ALGID.PA,EGIDE,Industrials
ALTAO.PA,ATON,Health Care
ALROC.PA,ROCTOOL,Industrials
ALBIO.PA,BIOSYNEX,Health Care
ALFUM.PA,FILL UP MEDIA,Consumer Discretionary
ALLLN.PA,LLEIDA,Technology
ALGIR.PA,SIGNAUX GIROD,Industrials
ALJXR.PA,ARCHOS,Telecommunications
ALWIT.PA,WITBE,Technology
ALBIZ.PA,OBIZ,Consumer Discretionary
ALEMV.PA,EMOVA GROUP,Consumer Discretionary
ALGLD.PA,GOLD BY GOLD,Basic Materials
ALCPA.PA,MACOMPTA.FR,Technology
ALTRA.PA,TRACTIAL,Technology
ALSEC.PA,SODITECH,Industrials
ALSAS.PA,STRADIM ESPAC.FIN,Real Estate
ALEMG.PA,LABO EUROMEDIS,Health Care
ALCUR.PA,ARCURE,Industrials
OREGE.PA,OREGE,Utilities
HDP.PA,HOTELS DE PARIS,Consumer Discretionary
ALINS.PA,INTRASENSE,Health Care
AELIS.PA,AELIS FARMA,Health Care
ALDVI.PA,ADVICENNE,Health Care
ALAGP.PA,AGRIPOWER,Energy
ALPRI.PA,PRISMAFLEX INTL,Consumer Discretionary
ALMGI.PA,MG INTERNATIONAL,Consumer Discretionary
ALKKO.PA,KKO INTERNATIONAL,Consumer Staples
ALLSF.PA,LE SLIP FRANCAIS,Consumer Discretionary
ALPET.PA,PET SERVICE,Consumer Discretionary
ALRGR.PA,ROUGIER S.A.,Basic Materials
ALECO.PA,ECOMIAM,Consumer Staples
POXEL.PA,POXEL,Health Care
ALNXT.PA,NEXTEDIA,Technology
ALBOA.PA,BOA CONCEPT,Industrials
ALNRG.PA,ENERGISME,Technology
PROAC.PA,PROACTIS SA,Technology
ALHF.PA,HF COMPANY,Telecommunications
ALNFL.PA,NFL BIOSCIENCES,Health Care
ALTME.PA,TME PHARMA,Health Care
ALTXC.PA,TXCOM,Telecommunications
ALVGO.PA,VOGO,Technology
ALMLB.PA,MILIBOO,Consumer Discretionary
EEM.PA,ELECT. MADAGASCAR,Real Estate
EFI.PA,EURASIA FONC INV,Real Estate
ALCOF.PA,COFIDUR,Industrials
ALAGR.PA,AGROGENERATION,Consumer Staples
ALKOM.PA,KOMPUESTOS,Industrials
ALI2S.PA,I2S,Industrials
ALSGD.PA,SPINEGUARD,Health Care
ALGTR.PA,GROUPE TERA,Industrials
ALVIN.PA,VINPAI,Consumer Staples
ALCBX.PA,CIBOX INTER A CTIV,Technology
ALBPS.PA,BIOPHYTIS,Health Care
ALGRO.PA,GROLLEAU,Industrials
ALFLO.PA,FLORENTAISE,Basic Materials
ALEUA.PA,EURASIA GROUPE,Real Estate
ALNN6.PA,ENENSYS,Technology
ALERO.PA,EUROLAND CORPORATE,Financials
ALQWA.PA,QWAMPLIFY,Consumer Discretionary
ALAGO.PA,E PANGO,Utilities
NACON.PA,NACON,Consumer Discretionary
ALVAP.PA,KUMULUS VAPE,Consumer Discretionary
ALAMA.PA,AMA CORPORATION,Industrials
ALWF.PA,WINFARM,Consumer Staples
ALKLK.PA,KERLINK,Telecommunications
ALAIR.PA,AIRWELL,Consumer Discretionary
ALDV.PA,ADC SIIC,Real Estate
ALDBL.PA,BERNARD LOISEAU,Consumer Discretionary
ALUPG.PA,UPERGY,Consumer Discretionary
COUR.PA,COURTOIS,Real Estate
ALINN.PA,INNELEC MULTIMEDIA,Technology
ALINV.PA,INVIBES ADVERTSING,Consumer Discretionary
ALDUX.PA,ADUX,Consumer Discretionary
FPG.PA,UNION TECH.INFOR.,Technology
ALWIN.PA,WINAMP GROUP,Consumer Discretionary
ALOKW.PA,GROUPE OKWIND,Utilities
ALIBR.PA,CALIBRE,Consumer Discretionary
ALNLF.PA,NEOLIFE,Industrials
ALUVI.PA,UV GERMI,Industrials
ALEO2.PA,EO2,Energy
AUGR.PA,AUGROS COSMETIC,Industrials
ALCOI.PA,COIL,Basic Materials
ALEFA.PA,EDUFORM ACTION,Financials
ALDUB.PA,ENCRES DUBUIT,Basic Materials
AVT.PA,AVENIR TELECOM,Telecommunications
ALAQU.PA,AQUILA,Industrials
ALMET.PA,METHANOR,Utilities
ALSEI.PA,SEIF SPA,Consumer Discretionary
ALLGO.PA,LARGO,Technology
ALORA.PA,ALTHEORA,Industrials
ALESA.PA,ECOSLOPS,Energy
ALPAU.PA,PAULIC MEUNERIE,Consumer Staples
ALDNE.PA,DONTNOD,Consumer Discretionary
ALEXP.PA,ONE EXPERIENCE,Industrials
ALQGC.PA,QUANTUM GENOMICS,Health Care
ALPAT.PA,PLANT ADVANCED,Health Care
ALPRE.PA,PREDILIFE,Health Care
ALBLU.PA,BLUELINEA,Health Care
ALSPT.PA,SPARTOO,Consumer Discretionary
GJAJ.PA,GROUPE JAJ,Consumer Discretionary
ALOPM.PA,ONCODESIGN PM,Health Care
ALSPW.PA,SPINEWAY,Health Care
ALMAR.PA,MARE NOSTRUM,Industrials
ALMUN.PA,MUNIC,Technology
ALARF.PA,ADEUNIS,Industrials
ALVIA.PA,VIALIFE,Consumer Discretionary
CHSR.PA,CHAUSSERIA,Consumer Discretionary
MHM.PA,MYHOTELMATCH,Consumer Discretionary
NR21.PA,NR21,Consumer Discretionary
ALORD.PA,ORDISSIMO,Technology
ALKLA.PA,KLARSEN,Consumer Discretionary
ALDEV.PA,DEVERNOIS,Consumer Discretionary
